Length	Assembly
2389	FlyBase_Contig
2385	FlyBase_Contig
2385	FlyBase_Contig
2385	FlyBase_Contig
2384	FlyBase_Contig
2384	FlyBase_Contig
2383	FlyBase_Contig
2382	FlyBase_Contig
2381	FlyBase_Contig
2381	FlyBase_Contig
2379	FlyBase_Contig
2379	FlyBase_Contig
2375	FlyBase_Contig
2372	FlyBase_Contig
2370	FlyBase_Contig
2369	FlyBase_Contig
2366	FlyBase_Contig
2363	FlyBase_Contig
2360	FlyBase_Contig
2357	FlyBase_Contig
2356	FlyBase_Contig
2355	FlyBase_Contig
2354	FlyBase_Contig
2354	FlyBase_Contig
2353	FlyBase_Contig
2352	FlyBase_Contig
2344	FlyBase_Contig
2344	FlyBase_Contig
2342	FlyBase_Contig
2342	FlyBase_Contig
2340	FlyBase_Contig
2335	FlyBase_Contig
2334	FlyBase_Contig
2333	FlyBase_Contig
2330	FlyBase_Contig
2328	FlyBase_Contig
2328	FlyBase_Contig
2326	FlyBase_Contig
2325	FlyBase_Contig
2322	FlyBase_Contig
2318	FlyBase_Contig
2318	FlyBase_Contig
2317	FlyBase_Contig
2315	FlyBase_Contig
2314	FlyBase_Contig
2311	FlyBase_Contig
2309	FlyBase_Contig
2308	FlyBase_Contig
2307	FlyBase_Contig
2303	FlyBase_Contig
2302	FlyBase_Contig
2296	FlyBase_Contig
2295	FlyBase_Contig
2293	FlyBase_Contig
2291	FlyBase_Contig
2289	FlyBase_Contig
2287	FlyBase_Contig
2286	FlyBase_Contig
2284	FlyBase_Contig
2283	FlyBase_Contig
2282	FlyBase_Contig
2276	FlyBase_Contig
2273	FlyBase_Contig
2270	FlyBase_Contig
2269	FlyBase_Contig
2269	FlyBase_Contig
2266	FlyBase_Contig
2264	FlyBase_Contig
2259	FlyBase_Contig
2259	FlyBase_Contig
2253	FlyBase_Contig
2253	FlyBase_Contig
2248	FlyBase_Contig
2247	FlyBase_Contig
2246	FlyBase_Contig
2237	FlyBase_Contig
2234	FlyBase_Contig
2232	FlyBase_Contig
2232	FlyBase_Contig
2228	FlyBase_Contig
2227	FlyBase_Contig
2223	FlyBase_Contig
2223	FlyBase_Contig
2221	FlyBase_Contig
2221	FlyBase_Contig
2220	FlyBase_Contig
2220	FlyBase_Contig
2217	FlyBase_Contig
2216	FlyBase_Contig
2216	FlyBase_Contig
2210	FlyBase_Contig
2209	FlyBase_Contig
2207	FlyBase_Contig
2206	FlyBase_Contig
2205	FlyBase_Contig
2202	FlyBase_Contig
2201	FlyBase_Contig
2201	FlyBase_Contig
2200	FlyBase_Contig
2198	FlyBase_Contig
2198	FlyBase_Contig
2197	FlyBase_Contig
2196	FlyBase_Contig
2193	FlyBase_Contig
2192	FlyBase_Contig
2190	FlyBase_Contig
2189	FlyBase_Contig
2189	FlyBase_Contig
2187	FlyBase_Contig
2185	FlyBase_Contig
2183	FlyBase_Contig
2178	FlyBase_Contig
2177	FlyBase_Contig
2176	FlyBase_Contig
2173	FlyBase_Contig
2167	FlyBase_Contig
2166	FlyBase_Contig
2165	FlyBase_Contig
2162	FlyBase_Contig
2161	FlyBase_Contig
2161	FlyBase_Contig
2157	FlyBase_Contig
2154	FlyBase_Contig
2147	FlyBase_Contig
2145	FlyBase_Contig
2141	FlyBase_Contig
2139	FlyBase_Contig
2138	FlyBase_Contig
2132	FlyBase_Contig
2129	FlyBase_Contig
2127	FlyBase_Contig
2126	FlyBase_Contig
2124	FlyBase_Contig
2124	FlyBase_Contig
