genome,MAG_ID,cluster,score
3300082028_28.fna,3300082028_28,302_1,91.08486415753015
3300049796_4.fna,3300049796_4,303_0,64.26958124646428
3300042001_2.fna,3300042001_2,304_1,79.30177239653705
3300082207_48.fna,3300082207_48,304_2,94.68498776259018
3300049588_47.fna,3300049588_47,304_3,92.23103596830151
3300078432_7.fna,3300078432_7,304_4,73.02693846
3300080648_37.fna,3300080648_37,305_0,73.33086347
3300082309_14.fna,3300082309_14,306_0,78.47891433187829
3300079522_41.fna,3300079522_41,307_0,68.58712125471966
3300082053_51.fna,3300082053_51,308_0,39.08336347966561
3300082264_21.fna,3300082264_21,309_1,92.06859532664406
3300082203_23.fna,3300082203_23,309_2,29.97849399890345
3300076762_54.fna,3300076762_54,310_1,70.01512732
3300049599_9.fna,3300049599_9,311_1,73.20439958691381
3300078740_46.fna,3300078740_46,311_2,73.07044394
3300042904_5.fna,3300042904_5,311_3,79.73728136255957
3300081038_8.fna,3300081038_8,311_4,27.301489427667633
3300061642_28.fna,3300061642_28,311_5,57.16115768365076
3300061774_5.fna,3300061774_5,311_6,54.797784990314405
3300076294_36.fna,3300076294_36,312_1,81.77605684089201
3300076611_46.fna,3300076611_46,313_1,51.59824492
3300075320_28.fna,3300075320_28,314_1,71.40083250600406
3300061216_8.fna,3300061216_8,315_0,74.90843664316363
3300065083_82.fna,3300065083_82,316_0,71.00836813023123
3300080057_39.fna,3300080057_39,317_0,44.6853122
3300079103_43.fna,3300079103_43,318_1,76.09191395
3300077664_70.fna,3300077664_70,319_1,80.70319101000088
3300076629_14.fna,3300076629_14,319_2,76.86459416
3300076631_14.fna,3300076631_14,320_0,75.76273218
3300037474_6.fna,3300037474_6,321_0,41.989329713526466
3300036401_7.fna,3300036401_7,322_1,86.69806174397453
3300078328_70.fna,3300078328_70,322_2,68.49039158897794
3300061856_86.fna,3300061856_86,323_0,69.81858408
3300076641_51.fna,3300076641_51,324_0,63.391107611523765
3300018085_8.fna,3300018085_8,325_1,48.14307823308638
3300079532_9.fna,3300079532_9,325_2,67.53998335
3300078436_28.fna,3300078436_28,326_0,56.857744799037775
3300056996_195.fna,3300056996_195,327_0,79.75252035
3300077493_12.fna,3300077493_12,328_1,76.50665457
3300082025_52.fna,3300082025_52,329_1,74.44593500772235
3300082223_13.fna,3300082223_13,329_2,38.09451116736461
3300078365_14.fna,3300078365_14,330_0,67.07509317483768
3300078729_51.fna,3300078729_51,331_1,93.45105066837728
3300077280_55.fna,3300077280_55,332_0,40.849204603691035
3300036850_8.fna,3300036850_8,333_0,90.45041998729235
3300056744_19.fna,3300056744_19,334_0,71.25953487496172
3300054680_36.fna,3300054680_36,335_0,82.92683636
3300076610_45.fna,3300076610_45,336_1,81.06004997506058
3300076631_43.fna,3300076631_43,337_1,79.54748016785551
3300060672_69.fna,3300060672_69,338_1,79.69756727
3300059342_48.fna,3300059342_48,339_1,73.48722660000638
3300075652_11.fna,3300075652_11,340_1,57.193713664235474
