Length	Assembly
1436	<=100kb
1432	<=100kb
1432	<=100kb
1432	<=100kb
1430	<=100kb
1429	<=100kb
1429	<=100kb
1425	<=100kb
1424	<=100kb
1424	<=100kb
1424	<=100kb
1423	<=100kb
1422	<=100kb
1421	<=100kb
1419	<=100kb
1416	<=100kb
1416	<=100kb
1416	<=100kb
1415	<=100kb
1412	<=100kb
1412	<=100kb
1411	<=100kb
1410	<=100kb
1408	<=100kb
1408	<=100kb
1407	<=100kb
1406	<=100kb
1404	<=100kb
1402	<=100kb
1395	<=100kb
1394	<=100kb
1393	<=100kb
1391	<=100kb
1391	<=100kb
1391	<=100kb
1386	<=100kb
1386	<=100kb
1385	<=100kb
1384	<=100kb
1383	<=100kb
1382	<=100kb
1381	<=100kb
1381	<=100kb
1380	<=100kb
1380	<=100kb
1379	<=100kb
1378	<=100kb
1377	<=100kb
1377	<=100kb
1377	<=100kb
1377	<=100kb
1376	<=100kb
1375	<=100kb
1374	<=100kb
1374	<=100kb
1373	<=100kb
1371	<=100kb
1369	<=100kb
1368	<=100kb
1366	<=100kb
1361	<=100kb
1360	<=100kb
1356	<=100kb
1356	<=100kb
1355	<=100kb
1355	<=100kb
1352	<=100kb
1351	<=100kb
1347	<=100kb
1347	<=100kb
1346	<=100kb
1344	<=100kb
1343	<=100kb
1341	<=100kb
1340	<=100kb
1340	<=100kb
1340	<=100kb
1339	<=100kb
1339	<=100kb
1337	<=100kb
1337	<=100kb
1336	<=100kb
1334	<=100kb
1333	<=100kb
1333	<=100kb
1333	<=100kb
1332	<=100kb
1330	<=100kb
1330	<=100kb
1328	<=100kb
1327	<=100kb
1326	<=100kb
1326	<=100kb
1323	<=100kb
1323	<=100kb
1322	<=100kb
1316	<=100kb
1315	<=100kb
1315	<=100kb
1315	<=100kb
1315	<=100kb
1312	<=100kb
1311	<=100kb
1311	<=100kb
1310	<=100kb
1310	<=100kb
1309	<=100kb
1308	<=100kb
1306	<=100kb
1304	<=100kb
1304	<=100kb
1304	<=100kb
1304	<=100kb
1303	<=100kb
1303	<=100kb
1302	<=100kb
1301	<=100kb
1301	<=100kb
1299	<=100kb
1297	<=100kb
1297	<=100kb
1297	<=100kb
1296	<=100kb
1295	<=100kb
1294	<=100kb
1294	<=100kb
1294	<=100kb
1293	<=100kb
1291	<=100kb
1290	<=100kb
1289	<=100kb
1287	<=100kb
1286	<=100kb
1285	<=100kb
1284	<=100kb
1284	<=100kb
1283	<=100kb
1283	<=100kb
1282	<=100kb
1281	<=100kb
1280	<=100kb
1280	<=100kb
1279	<=100kb
1278	<=100kb
1278	<=100kb
1278	<=100kb
1277	<=100kb
1277	<=100kb
1277	<=100kb
1276	<=100kb
1275	<=100kb
1275	<=100kb
1274	<=100kb
1274	<=100kb
1272	<=100kb
1271	<=100kb
1271	<=100kb
1271	<=100kb
1271	<=100kb
1271	<=100kb
1270	<=100kb
1270	<=100kb
1270	<=100kb
1269	<=100kb
1268	<=100kb
1268	<=100kb
1266	<=100kb
1265	<=100kb
1264	<=100kb
1263	<=100kb
1263	<=100kb
1263	<=100kb
1262	<=100kb
1262	<=100kb
1262	<=100kb
1261	<=100kb
1261	<=100kb
1260	<=100kb
1260	<=100kb
1260	<=100kb
1260	<=100kb
1259	<=100kb
1258	<=100kb
1258	<=100kb
1258	<=100kb
1257	<=100kb
1253	<=100kb
1253	<=100kb
1252	<=100kb
1251	<=100kb
1251	<=100kb
1251	<=100kb
1251	<=100kb
1250	<=100kb
1249	<=100kb
1248	<=100kb
1247	<=100kb
1246	<=100kb
1246	<=100kb
1244	<=100kb
1243	<=100kb
1242	<=100kb
1241	<=100kb
1241	<=100kb
1241	<=100kb
1240	<=100kb
1240	<=100kb
1240	<=100kb
1239	<=100kb
1238	<=100kb
1238	<=100kb
1238	<=100kb
1238	<=100kb
1237	<=100kb
1236	<=100kb
1235	<=100kb
1235	<=100kb
1234	<=100kb
1234	<=100kb
1234	<=100kb
1233	<=100kb
1233	<=100kb
1232	<=100kb
1231	<=100kb
1231	<=100kb
1231	<=100kb
1231	<=100kb
1230	<=100kb
1229	<=100kb
1229	<=100kb
1228	<=100kb
1227	<=100kb
1227	<=100kb
1227	<=100kb
1227	<=100kb
1226	<=100kb
1226	<=100kb
1226	<=100kb
1225	<=100kb
1225	<=100kb
1225	<=100kb
1225	<=100kb
1225	<=100kb
1225	<=100kb
1224	<=100kb
1224	<=100kb
1224	<=100kb
1224	<=100kb
1223	<=100kb
1223	<=100kb
1223	<=100kb
1222	<=100kb
1222	<=100kb
1221	<=100kb
1220	<=100kb
1220	<=100kb
1219	<=100kb
1219	<=100kb
1219	<=100kb
1218	<=100kb
1218	<=100kb
1214	<=100kb
1213	<=100kb
1212	<=100kb
1212	<=100kb
1211	<=100kb
1211	<=100kb
1210	<=100kb
1209	<=100kb
1209	<=100kb
1209	<=100kb
1208	<=100kb
1208	<=100kb
1208	<=100kb
1208	<=100kb
1207	<=100kb
1206	<=100kb
1205	<=100kb
1205	<=100kb
1205	<=100kb
1203	<=100kb
1203	<=100kb
1203	<=100kb
1202	<=100kb
1202	<=100kb
1201	<=100kb
1200	<=100kb
1200	<=100kb
1200	<=100kb
1199	<=100kb
1199	<=100kb
1198	<=100kb
1198	<=100kb
1197	<=100kb
1197	<=100kb
1195	<=100kb
1195	<=100kb
1195	<=100kb
1195	<=100kb
1195	<=100kb
1194	<=100kb
1193	<=100kb
1193	<=100kb
1193	<=100kb
1193	<=100kb
1192	<=100kb
1192	<=100kb
1192	<=100kb
1191	<=100kb
1191	<=100kb
1190	<=100kb
1190	<=100kb
1190	<=100kb
1189	<=100kb
1189	<=100kb
1189	<=100kb
1189	<=100kb
1189	<=100kb
1189	<=100kb
1188	<=100kb
1186	<=100kb
1186	<=100kb
1186	<=100kb
1186	<=100kb
1186	<=100kb
1185	<=100kb
1185	<=100kb
1185	<=100kb
1185	<=100kb
1184	<=100kb
1184	<=100kb
1184	<=100kb
1184	<=100kb
1182	<=100kb
1182	<=100kb
1181	<=100kb
1181	<=100kb
1181	<=100kb
1179	<=100kb
1179	<=100kb
1179	<=100kb
1178	<=100kb
1178	<=100kb
1178	<=100kb
1178	<=100kb
1178	<=100kb
1178	<=100kb
1177	<=100kb
1176	<=100kb
1175	<=100kb
1175	<=100kb
1174	<=100kb
1174	<=100kb
1173	<=100kb
1173	<=100kb
1173	<=100kb
1171	<=100kb
1171	<=100kb
1171	<=100kb
1171	<=100kb
1170	<=100kb
1169	<=100kb
1169	<=100kb
1168	<=100kb
1167	<=100kb
1167	<=100kb
1167	<=100kb
1166	<=100kb
1166	<=100kb
1166	<=100kb
1166	<=100kb
1165	<=100kb
1165	<=100kb
1164	<=100kb
1163	<=100kb
1163	<=100kb
1163	<=100kb
1163	<=100kb
1163	<=100kb
1163	<=100kb
1162	<=100kb
1162	<=100kb
1162	<=100kb
1161	<=100kb
1161	<=100kb
1161	<=100kb
1160	<=100kb
1160	<=100kb
1160	<=100kb
1159	<=100kb
1159	<=100kb
1159	<=100kb
1159	<=100kb
1159	<=100kb
1158	<=100kb
1158	<=100kb
1158	<=100kb
1157	<=100kb
1157	<=100kb
1156	<=100kb
1156	<=100kb
1155	<=100kb
1155	<=100kb
1155	<=100kb
1155	<=100kb
1154	<=100kb
1154	<=100kb
1154	<=100kb
1154	<=100kb
1153	<=100kb
1153	<=100kb
1153	<=100kb
1152	<=100kb
1152	<=100kb
1152	<=100kb
1152	<=100kb
1151	<=100kb
1150	<=100kb
1150	<=100kb
1148	<=100kb
1148	<=100kb
1148	<=100kb
1148	<=100kb
1148	<=100kb
1148	<=100kb
1147	<=100kb
1147	<=100kb
1147	<=100kb
1146	<=100kb
1146	<=100kb
